PLATFORM 0: (unicode)
LANGUAGE (windows) 1056: ur
LANGUAGE (windows) 2115: uz-cyrl
LANGUAGE (windows) 1091: uz
LANGUAGE (windows) 1066: vi
LANGUAGE (windows) 1106: cy
LANGUAGE (windows) 1160: wo
LANGUAGE (windows) 1157: sah
LANGUAGE (windows) 1144: ii
LANGUAGE (windows) 1130: yo
NAME 0: (copyright_notice, copyright)
NAME 1: (font_family_name, font_family, family)
NAME 2: (font_subfamily_name, font_subfamily, subfamily)
NAME 3: (unique_font_identifier, unique_identifier, unique_subfamily_identification, unique)
NAME 4: (full_font_name, full_name)
NAME 5: (version_string, version)
NAME 6: (postscript_name)
NAME 7: (trademark_notice, trademark)
NAME 8: (manufacturer_name, manufacturer)
NAME 9: (designer_name, designer)
NAME 10: (description)
NAME 11: (vendor_url)
NAME 12: (designer_url)
NAME 13: (license_description)
NAME 14: (license_information_url, license_info_url, license_url)
NAME 16: (typographic_family_name, typographic_family, preferred_family_name, preferred_family)
NAME 17: (typographic_subfamily_name, typographic_subfamily, preferred_subfamily_name, preferred_subfamily)
NAME 18: (compatible_full_name, compatible_full)
NAME 19: (sample_text, sample)
NAME 20: (postscript_cid_findfont_name)
NAME 21: (wws_family_name, wws_family)
NAME 22: (wws_subfamily_name, wws_subfamily)
NAME 23: (light_background_palette_id, light_background_palette)
NAME 24: (dark_background_palette_id, dark_background_palette)
NAME 25: (variations_postscript_name_prefix)
